0.514830, -0.200000
0.264830, -0.050000
-1.835170, 0.050000
-0.585170, 0.100000
-0.685170, 0.150000
-0.885170, 0.200000
-1.135170, 0.250000
-1.435170, 0.300000
-1.785170, 0.350000
-1.585170, 0.400000
-0.935170, 0.450000
1.264830, 0.500000
-3.085170, 0.600000
-3.635170, 0.750000
-3.685170, 1.000000
1.464830, 1.300000
1.414830, 1.550000
-3.635170, 1.750000
0.764830, 1.900000
-0.085170, 2.050000
-0.185170, 2.150000
-1.935170, 2.250000
-0.985170, 2.300000
0.014830, 2.350000
-1.785170, 2.450000
-2.785170, 2.600000
